,Teks,label
0,promo beli paket flash mulai gb my telkomsel ap dpt extra kuota gb g lte extra nelpon hinga mnthr buru cek s k,2
1,gb hari rp ribu spesial buat yang pilih aktif sekarang di promo sd nov buru aktif sekarang s k,2
2,plg yth sisa kuota flash kb download mytelkomsel aps htp utk cek kuota beli paket flash hub,2
3,plg yth sisa kuota flash kb download mytelkomsel aps htp utk cek kuota beli paket flash hub,2
4,gb hari rp ribu spesial buat yang pilih aktif sekarang di buru skb,2
5,hari ekstra pulsa rb dg beli paket internet bulan mytelkomsel utk beli pertama sjk aug sept cek detail promo,2
6,iring dgn tarif rp hr panjang rp hr hits armada curi hati tekan lalu okcal info,2
7,akhir bulan tetap eks loh internetan pake volume ultima mbhr hrga mulai rp rb tarif lokasi cek,2
8,aktif iring coboy jr hebat tekan info hits baru noah engkau aktif iring nya hp kamu ketik mg noah kirim info berkah iring rp dr yuni shara akhir aktif iring nya tkn lalu okcal raih thr puluhanjt henti unreg,2
9,ambil bonus hari bebas pulsa dptkan gratis nelpon internetan promo lai sesuai hobi,2
10,akan henti berlanganan paket flash ketik flash spasi ya tuju tungu sms konfirmasi nonaktif paket,2
11,akan berlanganan paket rp utk mb g mb ghari tuju balas flash spasi ya kirim utk lanjut paket panjang akhir masa aktif tarif sesuai lokasi tungu sms konfirmasi sblm pakai info zona detail tarif lihat,2
12,akan beli paket gampang internetan rp utk chating puas bm whatsap line harijika tuju balas flash spasi ya kirim utk melanjutkantungu sms konfirmasi sblm pemakaianinfo detail tarif lihat,2
13,akan terima ting ponsel ponsel dapat akses internet kirim fotoms anda tuju balas pesan gratis ketik y,2
14,akan aktif paket bm gratis laku hari pertama kali aktivasi ketik flash spasi untuk lanjut,2
15,dapat kupon program kartu as biber beli internet hadiah cek total kupon maksimal x jam skrg info lengkap hub,2
16,sedang nikmat paket reguler dgn sisa kuota kbdapatkan agam paket internet hemat tri,2
17,tidak daftar layan paket malam hari berlanganan laku isi ulang voucher kenyang download,2
18,tlh tukar poin poin tukar terus poinya siapa tahu menang hadih lg g gb menang yang tukar poin tingi sd november,2
19,angpaopoinsenyum dptkan vchr lotemart rb dg tukar poin normal poin sd feb ketik batas info,2
